[512   0 121]
[ 520    0 1000]
[8189    0  122]
[8195    0 1000]
[16564     0   123]
[21614     0  1111]
[21796     0  1000]
[25493     0    31]
[25498     0  1000]
[34435     0    32]
[34442     0  1000]
[43920     0    33]
[50080     0  1111]
[50218     0  1000]
[54015     0   231]
[54021     0  1000]
[62748     0   232]
[62754     0  1000]
[72011     0   233]
[77939     0  1111]
[78121     0  1000]
[81825     0   131]
[81831     0  1000]
[90292     0   132]
[90298     0  1000]
[99436     0   133]
[105253      0   1111]
[105434      0   1000]
[109195      0    141]
[109201      0   1000]
[119782      0    142]
[119788      0   1000]
[130922      0    143]
[138734      0   1111]
[138916      0   1000]
[142677      0    111]
[142683      0   1000]
[153528      0    112]
[153535      0   1000]
[164846      0    113]
[172830      0   1111]
[172977      0   1000]
[176766      0     11]
[176773      0   1000]
[187042      0     12]
[187048      0   1000]
[198054      0     13]
[205741      0   1111]
[205889      0   1000]
[209672      0     21]
[209678      0   1000]
[217352      0     22]
[217357      0   1000]
[225582      0     23]
[230488      0   1111]
[230670      0   1000]
[234434      0     41]
[234440      0   1000]
[244750      0     42]
[244756      0   1000]
[255583      0     43]
[263089      0   1111]
[263271      0   1000]
[266972      0    211]
[266978      0   1000]
[274913      0    212]
[274920      0   1000]
[283553      0    213]
[288860      0   1111]
[289037      0   1000]
[292804      0    221]
[292811      0   1000]
[304710      0    222]
[304717      0   1000]
[317308      0    223]
[326580      0   1111]
[326763      0   1000]
[330459      0    241]
[330464      0   1000]
[338396      0    242]
[338401      0   1000]
[346985      0    243]
[352248      0   1111]
[352430      0   1000]
[392324      0    221]
[392331      0   1000]
[404181      0    222]
[404186      0   1000]
[416779      0    223]
[426052      0   1111]
[426227      0   1000]
[429990      0     41]
[429997      0   1000]
[440308      0     42]
[440313      0   1000]
[451139      0     43]
[458645      0   1111]
[458822      0   1000]
[462586      0    111]
[462592      0   1000]
[473429      0    112]
[473436      0   1000]
[484740      0    113]
[492725      0   1111]
[492907      0   1000]
[496605      0     21]
[496612      0   1000]
[504283      0     22]
[504288      0   1000]
[512515      0     23]
[517421      0   1111]
[517601      0   1000]
[521351      0    211]
[521358      0   1000]
[529295      0    212]
[529300      0   1000]
[537927      0    213]
[543233      0   1111]
[543414      0   1000]
[547165      0    131]
[547171      0   1000]
[555586      0    132]
[555591      0   1000]
[564729      0    133]
[570546      0   1111]
[570728      0   1000]
[574430      0     31]
[574435      0   1000]
[583429      0     32]
[583435      0   1000]
[592913      0     33]
[599071      0   1111]
[599253      0   1000]
[602954      0    231]
[602960      0   1000]
[611638      0    232]
[611643      0   1000]
[620901      0    233]
[626829      0   1111]
[627011      0   1000]
[630710      0    121]
[630715      0   1000]
[638330      0    122]
[638335      0   1000]
[646705      0    123]
[651755      0   1111]
[651937      0   1000]
[655632      0    241]
[655639      0   1000]
[663571      0    242]
[663576      0   1000]
[672159      0    243]
[677422      0   1111]
[677604      0   1000]
[681313      0     11]
[681319      0   1000]
[691634      0     12]
[691640      0   1000]
[702646      0     13]
[710333      0   1111]
[710491      0   1000]
[714272      0    141]
[714278      0   1000]
[724853      0    142]
[724859      0   1000]
[735992      0    143]
[743805      0   1111]
[743982      0   1000]
[760569      0    141]
[760575      0   1000]
[771102      0    142]
[771107      0   1000]
[782242      0    143]
[790056      0   1111]
[790231      0   1000]
[794001      0    221]
[794007      0   1000]
[805906      0    222]
[805913      0   1000]
[818505      0    223]
[827778      0   1111]
[827942      0   1000]
[831709      0    231]
[831715      0   1000]
[840436      0    232]
[840442      0   1000]
[849700      0    233]
[855628      0   1111]
[855810      0   1000]
[859559      0    121]
[859567      0   1000]
[867239      0    122]
[867243      0   1000]
[875615      0    123]
[880665      0   1111]
[880845      0   1000]
[884596      0    211]
[884602      0   1000]
[892530      0    212]
[892536      0   1000]
[901163      0    213]
[906468      0   1111]
[906649      0   1000]
[910357      0     41]
[910363      0   1000]
[920673      0     42]
[920679      0   1000]
[931505      0     43]
[939012      0   1111]
[939193      0   1000]
[942902      0    111]
[942908      0   1000]
[953754      0    112]
[953760      0   1000]
[965073      0    113]
[973056      0   1111]
[973239      0   1000]
[976994      0     11]
[977001      0   1000]
[987260      0     12]
[987265      0   1000]
[998272      0     13]
